6188	AAAAA			115856201
6187	KKKKK			69343957
6186	QQQQQ			28629151
6185	JJJJJ			20511149
6184	TTTTT			6436343
6183	99999			2476099
6182	88888			1419857
6181	77777			371293
6180	66666			161051
6179	55555			16807
6178	44444			3125
6177	33333			243
6176	22222			32
6175	AAAAK			104553157
6174	AAAAQ			87598591
6173	AAAAJ			81947069
6172	AAAAT			64992503
6171	AAAA9			53689459
6170	AAAA8			48037937
6169	AAAA7			36734893
6168	AAAA6			31083371
6167	AAAA5			19780327
6166	AAAA4			14128805
6165	AAAA3			8477283
6164	AAAA2			5651522
6163	KKKKA			76840601
6162	KKKKQ			58098991
6161	KKKKJ			54350669
6160	KKKKT			43105703
6159	KKKK9			35609059
6158	KKKK8			31860737
6157	KKKK7			24364093
6156	KKKK6			20615771
6155	KKKK5			13119127
6154	KKKK4			9370805
6153	KKKK3			5622483
6152	KKKK2			3748322
6151	QQQQA			37864361
6150	QQQQK			34170277
6149	QQQQJ			26782109
6148	QQQQT			21240983
6147	QQQQ9			17546899
6146	QQQQ8			15699857
6145	QQQQ7			12005773
6144	QQQQ6			10158731
6143	QQQQ5			6464647
6142	QQQQ4			4617605
6141	QQQQ3			2770563
6140	QQQQ2			1847042
6139	JJJJA			28998521
6138	JJJJK			26169397
6137	JJJJQ			21925711
6136	JJJJT			16267463
6135	JJJJ9			13438339
6134	JJJJ8			12023777
6133	JJJJ7			9194653
6132	JJJJ6			7780091
6131	JJJJ5			4950967
6130	JJJJ4			3536405
6129	JJJJ3			2121843
6128	JJJJ2			1414562
6127	TTTTA			11473481
6126	TTTTK			10354117
6125	TTTTQ			8675071
6124	TTTTJ			8115389
6123	TTTT9			5316979
6122	TTTT8			4757297
6121	TTTT7			3637933
6120	TTTT6			3078251
6119	TTTT5			1958887
6118	TTTT4			1399205
6117	TTTT3			839523
6116	TTTT2			559682
6115	9999A			5343161
6114	9999K			4821877
6113	9999Q			4039951
6112	9999J			3779309
6111	9999T			2997383
6110	99998			2215457
6109	99997			1694173
6108	99996			1433531
6107	99995			912247
6106	99994			651605
6105	99993			390963
6104	99992			260642
6103	8888A			3424361
6102	8888K			3090277
6101	8888Q			2589151
6100	8888J			2422109
6099	8888T			1920983
6098	88889			1586899
6097	88887			1085773
6096	88886			918731
6095	88885			584647
6094	88884			417605
6093	88883			250563
6092	88882			167042
6091	7777A			1171001
6090	7777K			1056757
6089	7777Q			885391
6088	7777J			828269
6087	7777T			656903
6086	77779			542659
6085	77778			485537
6084	77776			314171
6083	77775			199927
6082	77774			142805
6081	77773			85683
6080	77772			57122
6079	6666A			600281
6078	6666K			541717
6077	6666Q			453871
6076	6666J			424589
6075	6666T			336743
6074	66669			278179
6073	66668			248897
6072	66667			190333
6071	66665			102487
6070	66664			73205
6069	66663			43923
6068	66662			29282
6067	5555A			98441
6066	5555K			88837
6065	5555Q			74431
6064	5555J			69629
6063	5555T			55223
6062	55559			45619
6061	55558			40817
6060	55557			31213
6059	55556			26411
6058	55554			12005
6057	55553			7203
6056	55552			4802
6055	4444A			25625
6054	4444K			23125
6053	4444Q			19375
6052	4444J			18125
6051	4444T			14375
6050	44449			11875
6049	44448			10625
6048	44447			8125
6047	44446			6875
6046	44445			4375
6045	44443			1875
6044	44442			1250
6043	3333A			3321
6042	3333K			2997
6041	3333Q			2511
6040	3333J			2349
6039	3333T			1863
6038	33339			1539
6037	33338			1377
6036	33337			1053
6035	33336			891
6034	33335			567
6033	33334			405
6032	33332			162
6031	2222A			656
6030	2222K			592
6029	2222Q			496
6028	2222J			464
6027	2222T			368
6026	22229			304
6025	22228			272
6024	22227			208
6023	22226			176
6022	22225			112
6021	22224			80
6020	22223			48
6019	AAAKK			94352849
6018	AAAQQ			66233081
6017	AAAJJ			57962561
6016	AAATT			36459209
6015	AAA99			24880481
6014	AAA88			19918169
6013	AAA77			11647649
6012	AAA66			8339441
6011	AAA55			3377129
6010	AAA44			1723025
6009	AAA33			620289
6008	AAA22			275684
6007	KKKAA			85147693
6006	KKKQQ			48677533
6005	KKKJJ			42599173
6004	KKKTT			26795437
6003	KKK99			18285733
6002	KKK88			14638717
6001	KKK77			8560357
6000	KKK66			6129013
5999	KKK55			2481997
5998	KKK44			1266325
5997	KKK33			455877
5996	KKK22			202612
5995	QQQAA			50078671
5994	QQQKK			40783879
5993	QQQJJ			25054231
5992	QQQTT			15759439
5991	QQQ99			10754551
5990	QQQ88			8609599
5989	QQQ77			5034679
5988	QQQ66			3604711
5987	QQQ55			1459759
5986	QQQ44			744775
5985	QQQ33			268119
5984	QQQ22			119164
5983	JJJAA			40997909
5982	JJJKK			33388541
5981	JJJQQ			23437829
5980	JJJTT			12901781
5979	JJJ99			8804429
5978	JJJ88			7048421
5977	JJJ77			4121741
5976	JJJ66			2951069
5975	JJJ55			1195061
5974	JJJ44			609725
5973	JJJ33			219501
5972	JJJ22			97556
5971	TTTAA			20452727
